"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","1997",16.671282,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","1998",16.517719,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","1999",15.599174,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2000",13.665389,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2001",13.515862,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2002",15.316512,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2003",18.005415,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2004",20.498941,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",20.146818,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",19.845667,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",17.99571,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",16.505592,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",16.732357,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",15.8973,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",13.904875,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",12.819253,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2013",12.471225,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2014",12.047767,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",11.352495,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",10.004822,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",9.1673222,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",8.5388823,
"DEU","UNEMPEDU","TRY","PC_25_64","A","1997",5.6755862,
"DEU","UNEMPEDU","TRY","PC_25_64","A","1998",5.4587955,
"DEU","UNEMPEDU","TRY","PC_25_64","A","1999",4.9092131,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2000",3.9763207,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2001",4.2310276,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2002",4.496244,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2003",5.1918244,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2004",5.5496602,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2005",5.5658817,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2006",4.8133388,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2007",3.8356545,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2008",3.3106675,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2009",3.4052653,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2010",3.0885527,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2011",2.4441407,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2012",2.3532271,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2013",2.4270005,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2014",2.4800949,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2015",2.3265731,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2016",2.2083173,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2017",1.9815251,
"DEU","UNEMPEDU","TRY","PC_25_64","A","2018",1.8697213,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1997",9.9608593,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1998",10.296931,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1999",8.6135931,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2000",7.7870116,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2001",8.2432299,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2002",9.0063944,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2003",10.236651,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2004",11.212045,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2005",11.015853,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2006",9.9095736,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2007",8.2817068,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2008",7.1983204,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2009",7.5147748,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2010",6.9153972,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2011",5.8094506,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2012",5.3345251,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2013",5.1426649,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2014",4.6300397,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2015",4.2799125,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2016",3.6604199,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",3.2659097,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",2.8517847,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","1997",1.4232904,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","1998",6.0314732,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","1999",5.4198899,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2000",3.6451063,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2001",3.1083276,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2002",2.201431,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2003",2.2486746,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2004",2.6158664,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",2.8554549,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",2.6000817,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",2.4078612,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",2.4581254,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",2.9356353,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",3.12409,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",2.6420186,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",2.5457234,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2013",2.3120685,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2014",2.6993945,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",2.7243698,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",2.7628746,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",2.7666306,
"KOR","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",3.2216022,
"KOR","UNEMPEDU","TRY","PC_25_64","A","1997",2.342304,
"KOR","UNEMPEDU","TRY","PC_25_64","A","1998",4.8905406,
"KOR","UNEMPEDU","TRY","PC_25_64","A","1999",4.7491179,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2000",3.6432967,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2001",3.5277996,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2002",3.2087636,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2003",3.1433649,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2004",2.9133618,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2005",2.9544895,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2006",2.8993154,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2007",2.969043,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2008",2.6356847,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2009",3.1838841,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2010",3.2668955,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2011",2.9233935,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2012",2.8500695,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2013",2.8848572,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2014",3.1077578,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2015",3.1634035,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2016",3.2910287,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2017",3.5086088,
"KOR","UNEMPEDU","TRY","PC_25_64","A","2018",3.4436555,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1997",2.3565698,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1998",6.7690287,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","1999",6.3718452,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2000",4.0852556,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2001",3.6081376,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2002",2.9506419,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2003",3.3427069,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2004",3.4911032,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2005",3.7566843,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2006",3.4601805,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2007",3.267411,
"KOR","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2008",3.3240292,
