"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1981",10.043506,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1982",12.582385,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1983",15.820516,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1984",12.084616,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1985",11.45586,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1986",11.679307,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1987",11.098855,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1988",9.4616483,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1989",8.8113836,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1990",9.6813966,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1991",12.453908,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1992",13.508681,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1993",13.046081,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1994",12.627853,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1995",10.007409,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1996",10.891999,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1997",10.401124,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1998",8.5161285,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","1999",7.7250395,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2000",7.8644009,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2001",8.1436234,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2002",10.184658,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2003",9.8916101,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2004",10.472992,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",9.0082312,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",8.2548494,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",8.4709682,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",10.056567,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",15.778392,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",16.820261,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",16.17053,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",14.279737,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2013",12.693604,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2014",10.560335,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",9.2215843,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",8.0993929,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",8.2531586,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",6.6416121,
"USA","UNEMPEDU","TRY","PC_25_64","A","1981",2.1839675,
"USA","UNEMPEDU","TRY","PC_25_64","A","1982",3.0308332,
"USA","UNEMPEDU","TRY","PC_25_64","A","1983",3.5042207,
"USA","UNEMPEDU","TRY","PC_25_64","A","1984",2.6789173,
"USA","UNEMPEDU","TRY","PC_25_64","A","1985",2.408644,
"USA","UNEMPEDU","TRY","PC_25_64","A","1986",2.3107959,
"USA","UNEMPEDU","TRY","PC_25_64","A","1987",2.3345504,
"USA","UNEMPEDU","TRY","PC_25_64","A","1988",1.7461222,
"USA","UNEMPEDU","TRY","PC_25_64","A","1989",2.183113,
"USA","UNEMPEDU","TRY","PC_25_64","A","1990",1.9294083,
"USA","UNEMPEDU","TRY","PC_25_64","A","1991",2.8837792,
"USA","UNEMPEDU","TRY","PC_25_64","A","1992",3.2576897,
"USA","UNEMPEDU","TRY","PC_25_64","A","1993",3.5256629,
"USA","UNEMPEDU","TRY","PC_25_64","A","1994",3.2099781,
"USA","UNEMPEDU","TRY","PC_25_64","A","1995",2.7707782,
"USA","UNEMPEDU","TRY","PC_25_64","A","1996",2.4042294,
"USA","UNEMPEDU","TRY","PC_25_64","A","1997",2.2513487,
"USA","UNEMPEDU","TRY","PC_25_64","A","1998",2.0973303,
"USA","UNEMPEDU","TRY","PC_25_64","A","1999",2.0708952,
"USA","UNEMPEDU","TRY","PC_25_64","A","2000",1.7670821,
